Date,Restaurant,Item,Category,Price,Quantity,Revenue,month,day_of_week,is_holiday,previous_day_sales,previous_week_sales,same_day_last_month,avg_last_7_days,item_avg_sales
2024-01-01,Mehfil,26,Starter,342.0,23.0,7866.0,1,0,0,0.0,0.0,0.0,0.0,69.82352941176471
2024-01-01,Mehfil,20,Starter,175.0,42.0,5775.0,1,0,0,0.0,0.0,0.0,0.0,80.30916552667578
2024-01-01,Mehfil,28,Main Course,238.0,44.0,8806.0,1,0,0,0.0,0.0,0.0,0.0,81.6593707250342
2024-01-01,Mehfil,3,Biryani,327.0,63.0,23217.0,1,0,0,0.0,0.0,0.0,0.0,64.41313269493844
2024-01-01,Mehfil,5,Main Course,343.0,70.0,19894.0,1,0,0,0.0,0.0,0.0,0.0,89.19562243502052
2024-01-01,Mehfil,27,Biryani,238.0,30.0,7616.0,1,0,0,0.0,0.0,0.0,0.0,70.34199726402188
2024-01-01,Mehfil,8,Starter,297.0,34.0,11583.0,1,0,0,0.0,0.0,0.0,0.0,66.33515731874145
2024-01-01,Mehfil,13,Main Course,234.0,33.0,7254.0,1,0,0,0.0,0.0,0.0,0.0,80.43365253077975
2024-01-01,Mehfil,9,Biryani,347.0,43.0,12145.0,1,0,0,0.0,0.0,0.0,0.0,85.33242134062928
2024-01-01,Mehfil,1,Main Course,317.0,50.0,16484.0,1,0,0,0.0,0.0,0.0,0.0,70.87551299589603
2024-01-01,Mehfil,4,Biryani,237.0,27.0,6162.0,1,0,0,0.0,0.0,0.0,0.0,82.42954856361149
2024-01-01,Mehfil,0,Starter,290.0,84.0,22330.0,1,0,0,0.0,0.0,0.0,0.0,82.01778385772914
2024-01-01,Mehfil,22,Starter,159.0,78.0,12243.0,1,0,0,0.0,0.0,0.0,0.0,72.67168262653898
2024-01-01,Mehfil,21,Biryani,232.0,46.0,12760.0,1,0,0,0.0,0.0,0.0,0.0,66.85772913816689
2024-01-01,Mehfil,6,Biryani,292.0,70.0,16060.0,1,0,0,0.0,0.0,0.0,0.0,90.57455540355677
2024-01-01,Mehfil,25,Biryani,181.0,48.0,5430.0,1,0,0,0.0,0.0,0.0,0.0,66.84404924760602
2024-01-01,Mehfil,24,Main Course,269.0,57.0,8339.0,1,0,0,0.0,0.0,0.0,0.0,87.67305061559507
2024-01-01,Mehfil,2,Biryani,301.0,49.0,16555.0,1,0,0,0.0,0.0,0.0,0.0,66.92749658002737
2024-01-01,Mehfil,11,Starter,207.0,59.0,11385.0,1,0,0,0.0,0.0,0.0,0.0,77.91381668946649
2024-01-01,Mehfil,23,Starter,215.0,59.0,12685.0,1,0,0,0.0,0.0,0.0,0.0,74.83173734610124
2024-01-01,Mehfil,19,Main Course,264.0,75.0,19800.0,1,0,0,0.0,0.0,0.0,0.0,73.23255813953489
2024-01-01,Mehfil,17,Main Course,181.0,77.0,13756.0,1,0,0,0.0,0.0,0.0,0.0,78.63201094391245
2024-01-01,Mehfil,15,Biryani,184.0,18.0,3680.0,1,0,0,0.0,0.0,0.0,0.0,72.3844049247606
2024-01-01,Mehfil,16,Biryani,255.0,74.0,15810.0,1,0,0,0.0,0.0,0.0,0.0,84.03693570451436
2024-01-01,Mehfil,7,Biryani,167.0,53.0,5845.0,1,0,0,0.0,0.0,0.0,0.0,69.22845417236663
2024-01-01,Mehfil,29,Biryani,314.0,125.0,22922.0,1,0,0,0.0,0.0,0.0,0.0,66.11901504787961
2024-01-01,Mehfil,14,Starter,188.0,61.0,11280.0,1,0,0,0.0,0.0,0.0,0.0,70.94664842681259
2024-01-01,Mehfil,12,Main Course,232.0,50.0,10904.0,1,0,0,0.0,0.0,0.0,0.0,82.91792065663475
2024-01-01,Mehfil,18,Biryani,159.0,48.0,6360.0,1,0,0,0.0,0.0,0.0,0.0,91.06019151846785
2024-01-01,Mehfil,10,Starter,171.0,79.0,11970.0,1,0,0,0.0,0.0,0.0,0.0,76.3201094391245
2024-01-02,Mehfil,12,Biryani,275.0,27.0,6050.0,1,1,0,50.0,0.0,0.0,50.0,82.91792065663475
2024-01-02,Mehfil,26,Biryani,197.0,120.0,14184.0,1,1,0,23.0,0.0,0.0,23.0,69.82352941176471
2024-01-02,Mehfil,21,Main Course,198.0,48.0,9702.0,1,1,0,46.0,0.0,0.0,46.0,66.85772913816689
2024-01-02,Mehfil,2,Main Course,313.0,44.0,15650.0,1,1,0,49.0,0.0,0.0,49.0,66.92749658002737
